5393,2008-02-06,Double Jeopardy!,"FROM THE FRENCH","$2000","From the French for ""caper"", it's a curved furniture leg that often tapers to a paw","cabriole"
6026,2010-11-22,Double Jeopardy!,"CONTRONYMS","$1600","To remove excess fat, or to add Christmas ornaments","trim"
6026,2010-11-22,Double Jeopardy!,"THEY COME IN TWOS","$1600","The 2 main kinds of camels are the one-humped dromedary & this 2-humped Asian species","Bactrian"
6026,2010-11-22,Double Jeopardy!,"I LEARNED IT IN BALLET CLASS","$1600","(<a href=""http://www.j-archive.com/media/2010-11-22_DJ_29.wmv"">Jimmy of the Clue Crew reads from the Dance Theatre of Harlem.</a>)  The step battement tendu was highly valued by this legendary choreographer. He told his wife, Maria Tallchief, that if she'd do it properly she wouldn't have to learn anything else","Balanchine"
6026,2010-11-22,Double Jeopardy!,"CUBA, SI!","$2000","Many Cuban practitioners of this ""saintly"" Afro-Caribbean religion speak Lucumi, a ""secret"" language","Santería"
6026,2010-11-22,Double Jeopardy!,"YANKEES, NO!","$2000","This ace L.A. lefty dominated the Yanks in the 1963 World Series, striking out 23 & beating them twice in a 4-game sweep","Sandy Koufax"
6026,2010-11-22,Double Jeopardy!,"AUTHORS' BIRTHPLACES","$2000","This existentialist came into being (not nothingness) June 21, 1905 in Paris","(Jean-Paul) Sartre"
6026,2010-11-22,Double Jeopardy!,"CONTRONYMS","$2000","To bless an action by decree, or to ban an action by decree","sanction"
6026,2010-11-22,Double Jeopardy!,"THEY COME IN TWOS","$2000","Named for their method of secretion, they're the 2 main types of glands in the body","endocrine & exocrine"
6026,2010-11-22,Double Jeopardy!,"I LEARNED IT IN BALLET CLASS","$2000","(<a href=""http://www.j-archive.com/media/2010-11-22_DJ_30.wmv"">Kelly of the Clue Crew reads from the Dance Theatre of Harlem.</a>)  The final pas de deux is one of the famous dances from this ballet; maybe it's fitting that its choreographer Lev Ivanov died on Christmas Eve when it's set","The Nutcracker"
6026,2010-11-22,Final Jeopardy!,"COMMUNICATION","None","It was first transmitted by the USS Arapahoe off Cape Hatteras on August 11, 1909","SOS"
4,1984-09-13,Jeopardy!,"GEOGRAPHY","$100","Christmas, Easter, or Bermuda, for example","islands"
4,1984-09-13,Jeopardy!,"BY THE NUMBERS","$100","The 1st asked in this game is usually ""Animal, vegetable or mineral?""","Twenty Questions"
4,1984-09-13,Jeopardy!,"TOYS & GAMES","$100","Number of pockets on a pool table","6"
4,1984-09-13,Jeopardy!,"TRANSPORTATION","$100","It could be paddle wheel, cargo or tramp","a steamer"
4,1984-09-13,Jeopardy!,"FLOWERS & TREES","$100","Its seed is used in baking, but 1 type produces opium","the poppy"
4,1984-09-13,Jeopardy!,"TRIVIA","$100","In 1983 Americans used over 1¼ million gallons of this beach product","suntan lotion"
4,1984-09-13,Jeopardy!,"GEOGRAPHY","$200","Europe's only wild monkeys live on this ""rock""","(rock of) Gibraltar"
4,1984-09-13,Jeopardy!,"BY THE NUMBERS","$200","The two point values an ace can have in blackjack","1 and 11"
4,1984-09-13,Jeopardy!,"TOYS & GAMES","$200","Color that always has opening move in chess","white"
4,1984-09-13,Jeopardy!,"TRANSPORTATION","$200","Charlton Heston was ""on track"" with it in ""Ben Hur""","a chariot"
4,1984-09-13,Jeopardy!,"FLOWERS & TREES","$200","Long associated with Lebanon, this tree is on its flag","a cedar"
4,1984-09-13,Jeopardy!,"TRIVIA","$200","When it was rung for Chief Justice John Marshall's funeral, it cracked","the Liberty Bell"
4,1984-09-13,Jeopardy!,"GEOGRAPHY","$300","1/3 the size of U.S., this royal kingdom has no rivers or lakes but lots of oil","Saudi Arabia"
4,1984-09-13,Jeopardy!,"BY THE NUMBERS","$300","Police precinct Barney Miller ""dozen"" work at any more","the 12th"
4,1984-09-13,Jeopardy!,"TOYS & GAMES","$300","Versions of this board game take place in London, Madrid, & Atlantic City","Monopoly"
4,1984-09-13,Jeopardy!,"TRANSPORTATION","$500","Vehicle Butch Cassidy rode during <a href=""http://www.j-archive.com/media/1984-09-20_J_21.mp3"">this</a> song:","a bicycle"
4,1984-09-13,Jeopardy!,"TRIVIA","$300","""Kingdom"" that Khrushchev couldn't visit in 1959 U.S. trip","the Magic Kingdom/Disneyland"
4,1984-09-13,Jeopardy!,"GEOGRAPHY","$400","Largest country entirely in Europe","France"
4,1984-09-13,Jeopardy!,"BY THE NUMBERS","$400","A race run by couples tied together at the ankle","a 3-legged race"
4,1984-09-13,Jeopardy!,"TOYS & GAMES","$400","Binney & Smith makes them in 64 colors","(Crayola) crayons"
4,1984-09-13,Jeopardy!,"TRIVIA","$400","Dr. Seuss' egg-hatching elephant who was ""faithful, 100%""","Horton"
4,1984-09-13,Jeopardy!,"GEOGRAPHY","$500","Clocks in Lima, Peru, read the same as in this U.S. time zone","Eastern"
4,1984-09-13,Jeopardy!,"BY THE NUMBERS","$500","Musical about Continental Congress, it included song ""Sit Down, John""","1776"
4,1984-09-13,Jeopardy!,"TOYS & GAMES","$500","She's been a teenage fashion model for over 25 years","Barbie"
4,1984-09-13,Jeopardy!,"TRIVIA","$500","It spent the night in a discount-house parking lot before heading to L.A. Coliseum","the Olympic torch"
4,1984-09-13,Double Jeopardy!,"THE CIVIL WAR","$200","Lincoln's four brothers-in-law all served in this army","the Confederate army"
4,1984-09-13,Double Jeopardy!,"ANATOMY","$200","Mark Anthony borrowed them, then bent them","ears"
4,1984-09-13,Double Jeopardy!,"MOVIES","$200","To Dustin Hoffman this '82 film was a ""drag""","Tootsie"
4,1984-09-13,Double Jeopardy!,"STATE CAPITALS","$200","It succeeded Fort Whipple, Prescott, & Tucson as capital","Phoenix"
4,1984-09-13,Double Jeopardy!,"ALPHABET SOUP","$200","He's the heavyweight of the A-Team","Mr. T"
4,1984-09-13,Double Jeopardy!,"BUSINESS & INDUSTRY","$200","""Body-building"" brand of bread from ""the bakery people of IT&T""","Wonder Bread"
4,1984-09-13,Double Jeopardy!,"THE CIVIL WAR","$400","Though shots fired at this garrison started the war, no casualties resulted","Fort Sumter"
4,1984-09-13,Double Jeopardy!,"ANATOMY","$400","Over ½ of these are in your hands & feet","your bones"
4,1984-09-13,Double Jeopardy!,"MOVIES","$400","Film featuring March & Gaynor, Garland & Mason or Streisand & Kristofferson","A Star Is Born"
4,1984-09-13,Double Jeopardy!,"STATE CAPITALS","$400","Lincoln lived & practiced law here for 25 years before becoming president","Springfield"
4,1984-09-13,Double Jeopardy!,"ALPHABET SOUP","$400","Caveman comic strip created by Johnny Hart","""B.C."""
4,1984-09-13,Double Jeopardy!,"BUSINESS & INDUSTRY","$400","In 1978, this German co. became first foreign automaker to make cars here","Volkswagen"
4,1984-09-13,Double Jeopardy!,"THE CIVIL WAR","$600","He was Lincoln's first choice to lead the Union army","Robert E. Lee"
4,1984-09-13,Double Jeopardy!,"ANATOMY","$600","Number of chambers in a judge's heart","4"
4,1984-09-13,Double Jeopardy!,"MOVIES","$600","In '84 he's a destroyer, in '82 he was just a barbarian","Conan"
4,1984-09-13,Double Jeopardy!,"STATE CAPITALS","$600","1 of 4 state capitals that end in word ""City""","(1 of) Salt Lake City, Oklahoma City, Jefferson City, Carson City"
4,1984-09-13,Double Jeopardy!,"ALPHABET SOUP","$600","Letter shared by sensuous woman author & 76'ers Doctor","J"
4,1984-09-13,Double Jeopardy!,"BUSINESS & INDUSTRY","$600","This company owns the world's tallest building","Sears(-Roebuck)"
4,1984-09-13,Double Jeopardy!,"THE CIVIL WAR","$800","State that seceded from state that seceded","West Virginia"
4,1984-09-13,Double Jeopardy!,"ANATOMY","$800","The body has over 60,000 miles of them","blood vessels"
4,1984-09-13,Double Jeopardy!,"MOVIES","$800","Walter Matthau & Tony Curtis both coached this kids' baseball team","The Bad News Bears"
4,1984-09-13,Double Jeopardy!,"ALPHABET SOUP","$800","What Bo Derek would have been in ancient Rome","X"
4,1984-09-13,Double Jeopardy!,"BUSINESS & INDUSTRY","$800","Piggly Wiggly stores were the first of these","supermarkets"
4,1984-09-13,Double Jeopardy!,"THE CIVIL WAR","$1000","General Nicknamed ""Uncle Billy"" who believed in total war","(William Tecumseh) Sherman"
4,1984-09-13,Double Jeopardy!,"ANATOMY","$3,500","Prominent zygomatic bones, considered an attractive facial feature","cheek bones"
4,1984-09-13,Double Jeopardy!,"MOVIES","$1000","Went from bit part in film ""Little Shop of Horrors"" to Oscars for Best Actor & Best Support","Jack Nicholson"
4,1984-09-13,Double Jeopardy!,"ALPHABET SOUP","$1000","Binet & Simon's measure of mental age","the IQ"
4,1984-09-13,Final Jeopardy!,"AMERICAN GOVERNMENT","None","Since 1970, the only cabinet department not headed by a secretary","the Attorney General's Department"
3872,2001-06-05,Jeopardy!,"PRICELINE","$100","John Heywood's 16th century book of proverbs mentioned this price ""for your thoughts"" (What a cheapskate!)","A penny"
3872,2001-06-05,Jeopardy!,"AMAZON","$100","Beginning in Peru, the Amazon flows over 4,000 miles to this ocean","Atlantic Ocean"
3872,2001-06-05,Jeopardy!,"REAL AUDIO","$100","His ""Rock & Roll Music"" includes ""Maybellene"" & ""Roll Over Beethoven""","Chuck Berry"
3872,2001-06-05,Jeopardy!,"I WON","$100","One of the few victories the Romans ever won against this Carthaginian general was at Zuma in 202 B.C.","Hannibal"
3872,2001-06-05,Jeopardy!,"THE ONION","$100","Sulfuric compounds in onions induce these in humans who are slicing them","Tears"
3872,2001-06-05,Jeopardy!,"""E"" BAY","$100","An upright frame for displaying or supporting an artist's canvas","Easel"
3872,2001-06-05,Jeopardy!,"PRICELINE","$200","In the 1960s this famous structure really was ""falling down"", so Robert McCulloch paid $2,460,000 & moved it to Arizona","London Bridge"
3872,2001-06-05,Jeopardy!,"AMAZON","$200","Abundant in the Amazon River, this feared fish is also known as a caribe","Piranha"
3872,2001-06-05,Jeopardy!,"REAL AUDIO","$200","""People"" & ""Back To Broadway"" are No. 1 albums by this woman","Barbra Streisand"
3872,2001-06-05,Jeopardy!,"I WON","$200","As the Dixiecrat nominee, this South Carolina senator, then governor, won 39 electoral votes in 1948","Strom Thurmond"
3872,2001-06-05,Jeopardy!,"THE ONION","$200","These small onions often used in cream sauces bear the name of a gem","Pearl onions"
3872,2001-06-05,Jeopardy!,"""E"" BAY","$200","A crude figure or dummy representing a disliked person","Effigy"
3872,2001-06-05,Jeopardy!,"PRICELINE","$300","These early movie theatres were so named because they charged only 5 cents admission","Nickelodeons"
3872,2001-06-05,Jeopardy!,"AMAZON","$300","The upper Amazon is known as the Solimoes River until it reaches this nation's city of Manaus","Brazil"
3872,2001-06-05,Jeopardy!,"REAL AUDIO","$300","Moby's version of ""South Side"" features Gwen Stefani, the lead singer of this group","No Doubt"
3872,2001-06-05,Jeopardy!,"I WON","$300","The author of ""A Beggar In Jerusalem"", this concentration camp survivor won the Nobel Peace Prize in 1986","Elie Wiesel"
3872,2001-06-05,Jeopardy!,"THE ONION","$300","""I will not move my army without onions!"" once declared this 18th U.S. president","Ulysses S. Grant"
3872,2001-06-05,Jeopardy!,"""E"" BAY","$300","1981 Wimbledon winner seen here:","Chris Evert"
3872,2001-06-05,Jeopardy!,"PRICELINE","$400","At a 1996 auction Jimmy Buffett paid $43,700 for a Jamie Wyeth lithograph of this president in a sailboat","John F. Kennedy"
3872,2001-06-05,Jeopardy!,"AMAZON","$400","A 1542 attack by female warriors against explorers from this country led to the Amazon receiving its name","Spain"
3872,2001-06-05,Jeopardy!,"REAL AUDIO","$400","It's the instrument in the title of the following: [audio clue]","Saxophone"
3872,2001-06-05,Jeopardy!,"I WON","$600","Pitted against Clarence Darrow, this man won his case on July 21, 1925 & then died 5 days later","William Jennings Bryan"
3872,2001-06-05,Jeopardy!,"THE ONION","$400","This onion relative is a national emblem of Wales","Leek"
3872,2001-06-05,Jeopardy!,"""E"" BAY","$400","From the Latin for ""inlaid design"", it's an object or representation that functions as a symbol","Emblem"
3872,2001-06-05,Jeopardy!,"PRICELINE","$500","Famous price of ""Stella Delorme"" & many other lurid novels by Ned Buntline","A dime"
3872,2001-06-05,Jeopardy!,"AMAZON","$500","These water boas of the Amazon region can grow to over 200 pounds & over 20 feet","Anacondas"
3872,2001-06-05,Jeopardy!,"REAL AUDIO","$500","""Summer Nights"" helped this soundtrack dominate the No. 1 spot during the summer of 1978","Grease"
3872,2001-06-05,Jeopardy!,"I WON","$500","This ""hazardous"" naval officer won the decisive 1813 Battle of Lake Erie over the British","Oliver Hazard Perry"
3872,2001-06-05,Jeopardy!,"THE ONION","$500","Grown on the slopes of Haleakala, this Hawaiian island's onions are among the world's tastiest","Maui onions"
3872,2001-06-05,Jeopardy!,"""E"" BAY","$500","This nation west of Russia borders the Baltic","Estonia"
3872,2001-06-05,Double Jeopardy!,"ARTISTS & THEIR WORKS","$200","Graham Sutherland's 1949 portrait of this ""Of Human Bondage"" author is in the Tate Gallery","Somerset Maugham"
3872,2001-06-05,Double Jeopardy!,"THE FILM VAULT","$200","Cecil B. De Mille directed 2 versions of this Biblical epic, one in 1923 & one in 1956","The Ten Commandments"
3872,2001-06-05,Double Jeopardy!,"DEAR JOHN","$200","He was actress Drew's famous grandfather","John Barrymore"
3872,2001-06-05,Double Jeopardy!,"AUTHOR! AUTHOR!","$200","""The Book of Daniel"", ""Ragtime""","E.L. Doctorow"
3872,2001-06-05,Double Jeopardy!,"GREASY SPOON PHRASE BOOK","$200","Whether Arabica or robusta, order a cup of this & you'll hear ""Draw One!""","Coffee"
3872,2001-06-05,Double Jeopardy!,"FILL 'ER UP?","$200","""You can trust your car to the man who wears the star"", the big, bright one of this station","Texaco"
3872,2001-06-05,Double Jeopardy!,"ARTISTS & THEIR WORKS","$400","The Uffizi is home to Nicolas Froment's triptych ""The Raising of"" this Biblical man","Lazarus"
3872,2001-06-05,Double Jeopardy!,"THE FILM VAULT","$400","In 1963 Richard Burton played this Roman on the big screen","Mark Antony"
3872,2001-06-05,Double Jeopardy!,"DEAR JOHN","$400","Though gold was found at his mill in 1848, by 1852 he was bankrupt","John Sutter"
3872,2001-06-05,Double Jeopardy!,"AUTHOR! AUTHOR!","$400","""Marjorie Morningstar"", ""The Caine Mutiny""","Herman Wouk"
3872,2001-06-05,Double Jeopardy!,"GREASY SPOON PHRASE BOOK","$400","Calling out ""BLT, hold the mayo"" gets you this kind of sandwich","Bacon. Lettuce & Tomato (without the mayonnaise)"
3872,2001-06-05,Double Jeopardy!,"FILL 'ER UP?","$400","Esso stood for S.O., which stood for this","Standard Oil"
3872,2001-06-05,Double Jeopardy!,"ARTISTS & THEIR WORKS","$2,100","This artist famed for his mobiles created a miniature circus that's in the Whitney Museum of American Art","Alexander Calder"
3872,2001-06-05,Double Jeopardy!,"THE FILM VAULT","$600","This 1955 James Dean classic was advertised with the tagline ""Teenage Terror Torn from Today's Headlines""","Rebel Without A Cause"
3872,2001-06-05,Double Jeopardy!,"DEAR JOHN","$600","He & Priscilla Mullens were among the first Pilgrim couples to marry in America","John Alden"
3872,2001-06-05,Double Jeopardy!,"AUTHOR! AUTHOR!","$600","""Amelie"", ""Tom Jones""","Henry Fielding"
3872,2001-06-05,Double Jeopardy!,"GREASY SPOON PHRASE BOOK","$600","Order ""Adam & Eve on a Raft"" & you'll get poached eggs on this","Toast"
3872,2001-06-05,Double Jeopardy!,"FILL 'ER UP?","$1,500","Gulf Oil goes back to the famous oil find at Spindletop in this state in 1901","Texas"
3872,2001-06-05,Double Jeopardy!,"ARTISTS & THEIR WORKS","$800","""The Disasters of War"" is a grim series of etchings that this Spaniard began in 1810","Francisco Goya"
3872,2001-06-05,Double Jeopardy!,"THE FILM VAULT","$800","This Swedish actress made her breakthrough film in 1936, then later came to the U.S. to star in a 1939 English remake","Ingrid Bergman"
3872,2001-06-05,Double Jeopardy!,"DEAR JOHN","$800","While in prison, this ""Pilgrim's Progress"" author supported his family by making shoelaces","John Bunyan"
3872,2001-06-05,Double Jeopardy!,"AUTHOR! AUTHOR!","$800","""Of Love and Shadows"", ""The House of the Spirits""","Isabel Allende"
3872,2001-06-05,Double Jeopardy!,"GREASY SPOON PHRASE BOOK","$800","In a greasy spoon these paired seasonings are ""Mike & Ike""","Salt & pepper"
3872,2001-06-05,Double Jeopardy!,"FILL 'ER UP?","$800","East coast brand whose logo is seen here:","Sunoco"
3872,2001-06-05,Double Jeopardy!,"ARTISTS & THEIR WORKS","$1000","""The Laughing Cavalier"", seen here, may be the most famous portrait by this Antwerp-born artist","Frans Hals"
3872,2001-06-05,Double Jeopardy!,"THE FILM VAULT","$1000","Frank Sinatra is ""The Man"" who fights to break his drug addiction in this screen version of an Algren novel","The Man With the Golden Arm"
3872,2001-06-05,Double Jeopardy!,"DEAR JOHN","$1000","In 1821 the remains of this major, who conspired with Benedict Arnold, were moved to Westminster Abbey","John Andre"
3872,2001-06-05,Double Jeopardy!,"AUTHOR! AUTHOR!","$1000","""The House of Mirth"", ""Ethan Frome""","Edith Wharton"
3872,2001-06-05,Double Jeopardy!,"GREASY SPOON PHRASE BOOK","$1000","A request for this style of cooked eggs makes the waitress yell out ""Wreck 'em!""","Scrambled eggs"
3872,2001-06-05,Double Jeopardy!,"FILL 'ER UP?","$1000","In the '40s this gas company used the slogan ""Best in the long run""  (Get it? Long run)","Marathon Oil"
3872,2001-06-05,Final Jeopardy!,"TELEVISION","None","Show inspired by an article saying about 30% of the people who married in 1965 had kids from a previous marriage","The Brady Bunch"
5680,2009-04-24,Jeopardy!,"FICTION","$200","In a departure from legal thrillers, he tackled football in ""Playing for Pizza""","John Grisham"
5680,2009-04-24,Jeopardy!,"SOUNDS LIKE A SNEEZE","$200","Double talk railroad term in the title of a 1941 hit song with Tex Beneke on vocals","choo choo"
5680,2009-04-24,Jeopardy!,"THE PRESIDENT'S FIRST 100 DAYS","$200","Sworn in on Air Force One","LBJ"
5680,2009-04-24,Jeopardy!,"PADDLE","$200","On ""ER"" it's not uncommon to hear this 5-letter word just before defibrillator paddles are discharged","clear"
5680,2009-04-24,Jeopardy!,"FASTER","$200","At about 17,000 mph, the world's fastest winged vehicle is this one when in orbit","the Space Shuttle"
5680,2009-04-24,Jeopardy!,"I HEAR BANJOS","$200","The classic bluegrass song ""Dueling Banjos"" is featured in this disturbing 1972 film","Deliverance"
5680,2009-04-24,Jeopardy!,"FICTION","$400","A newspaper article, ""Pastor Tells Eerie Tale of 'Haunted' Boy"", partly inspired this 1971 bestseller","The Exorcist"
5680,2009-04-24,Jeopardy!,"SOUNDS LIKE A SNEEZE","$400","This yellow Pokemon character evolves into Raichu","Pikachu"
5680,2009-04-24,Jeopardy!,"THE PRESIDENT'S FIRST 100 DAYS","$400","Shot outside the Washington Hilton","Reagan"
5680,2009-04-24,Jeopardy!,"PADDLE","$400","Duke Kahanamoku was among those who pioneered the paddle type of this sport","surfing"
5680,2009-04-24,Jeopardy!,"FASTER","$400","Driving the Thrust SSC, Andy Green broke the land-speed record going 763 mph at Black Rock Desert in this state","Nevada"
5680,2009-04-24,Jeopardy!,"I HEAR BANJOS","$400","In 2009 this comic actor released a banjo album--""Ramblin' Guy"" isn't one of the tracks","Steve Martin"
5680,2009-04-24,Jeopardy!,"FICTION","$1,000","Ruth Prawer Jhabvala subtitled her ""East into Upper East"" ""Plain Tales from New York and"" this world capital","New Delhi"
5680,2009-04-24,Jeopardy!,"SOUNDS LIKE A SNEEZE","$600","Barack Obama picked this Nobel Prize winner as his Energy Secretary","(Steven) Chu"
5680,2009-04-24,Jeopardy!,"THE PRESIDENT'S FIRST 100 DAYS","$600","Meets with Yitzhak Rabin & wife; meets with Anwar Sadat & wife","(Jimmy) Carter"
5680,2009-04-24,Jeopardy!,"PADDLE","$600","In the 1800s Robert Fulton developed the first steamboat, propelled by one of these","paddlewheel"
5680,2009-04-24,Jeopardy!,"FASTER","$600","Clocked at 36 mph, one of the world's fastest insects is the Australian this <a href=""http://www.j-archive.com/media/2009-04-24_J_28.jpg"" target=""_blank"">seen here</a>","a dragonfly"
5680,2009-04-24,Jeopardy!,"I HEAR BANJOS","$600","He penned the lyrics ""I come from Alabama with my banjo on my knee""","Stephen Foster"
5680,2009-04-24,Jeopardy!,"FICTION","$800","Evan Hunter wrote the popular 87th precinct novels under this pen name","Ed McBain"
5680,2009-04-24,Jeopardy!,"SOUNDS LIKE A SNEEZE","$800","These people who established a dynastic reign over China in the 1600s were descended from the Tungu","the Manchu"
5680,2009-04-24,Jeopardy!,"THE PRESIDENT'S FIRST 100 DAYS","$800","Signs the Tennessee Valley Authority act into law","FDR"
5680,2009-04-24,Jeopardy!,"PADDLE","$800","2 main grips for the paddles in this sport are the pen hold & shake hands grips","table tennis (ping-pong)"
5680,2009-04-24,Jeopardy!,"FASTER","$800","Olympian John Howard set a 152.2 mph speed record on one of these in 1985--he started by being towed behind a car","a bicycle"
5680,2009-04-24,Jeopardy!,"I HEAR BANJOS","$800","This banjo-heavy minstrel show favorite became the South's unofficial anthem during the Civil War","""Dixie"""
5680,2009-04-24,Jeopardy!,"FICTION","$1000","""Brain"", ""Coma"", and ""Contagion"" are among his medical thrillers","Robin Cook"
5680,2009-04-24,Jeopardy!,"SOUNDS LIKE A SNEEZE","$1000","To avoid or shun; a bumper sticker says to do it to ""obfuscation""","eschew"
5680,2009-04-24,Jeopardy!,"THE PRESIDENT'S FIRST 100 DAYS","$1000","Signs the U.N. charter in San Francisco","Truman"
5680,2009-04-24,Jeopardy!,"PADDLE","$1000","Go to the Met in NYC & you can see a ceremonial dance paddle called a ""rapa"" from Rapa Nui, aka this island","Easter Island"
5680,2009-04-24,Jeopardy!,"FASTER","$1000","Flying a Westland Lynx turboshaft in 1986, Trevor Egginton set the record for one of these at 249 mph","a helicopter"
5680,2009-04-24,Jeopardy!,"I HEAR BANJOS","$1000","Skilled banjo player Uncle Dave Macon was an early star on this popular radio show aka ""The WSM Barn Dance""","""The Grand Old Opry"""
5680,2009-04-24,Double Jeopardy!,"LANDS DOWN UNDER","$400","The St. Bernard tunnel connects Switzerland southward down under the Alps to this country","Italy"
5680,2009-04-24,Double Jeopardy!,"AFI'S TOP 100 MOVIE QUOTES","$400","No. 42: ""Plastics""","The Graduate"
5680,2009-04-24,Double Jeopardy!,"THAT'S MY KID!","$400","47 B.C.: Cleopatra (think again)","Julius Caesar"
5680,2009-04-24,Double Jeopardy!,"THE NUMBER 7","$400","In superstition, the unfortunate result of breaking a mirror","seven years of bad luck"
5680,2009-04-24,Double Jeopardy!,"8-LETTER WORDS","$400","The name of this arboreal rodent can also mean to hide something away, like money","squirrel"
5680,2009-04-24,Double Jeopardy!,"WAKING THE BABY MAMMOTH","$400","(<a href=""http://www.j-archive.com/media/2009-04-24_DJ_22.jpg"" target=""_blank"">Paleontologist Dan Fisher delivers the clue</a>) Baby mammoth did not eat much solid food until roughly a year old.  Lyuba's last meal was probably this, residue of which might actually be found in her intestines","(mother's) milk"
5680,2009-04-24,Double Jeopardy!,"LANDS DOWN UNDER","$800","The third-highest mountain in the world, Kanchenjunga, is shared by Nepal & this nation to its south","India"
5680,2009-04-24,Double Jeopardy!,"AFI'S TOP 100 MOVIE QUOTES","$800","No. 94: ""I feel the need--the need for speed!""","Top Gun"
5680,2009-04-24,Double Jeopardy!,"THAT'S MY KID!","$800","40 B.C.: Cleopatra (don't think again)","Mark Antony"
5680,2009-04-24,Double Jeopardy!,"THE NUMBER 7","$800","The scene where the subway blows Marilyn's skirt up is in this 1955 film","The Seven Year Itch"
5680,2009-04-24,Double Jeopardy!,"8-LETTER WORDS","$800","Relating to ships, as in a type of mile","nautical"
5680,2009-04-24,Double Jeopardy!,"WAKING THE BABY MAMMOTH","$800","(Paleontologist Dan Fisher delivers the clue) Mammoths often had a <a href=""http://www.j-archive.com/media/2009-04-24_DJ_27.jpg"" target=""_blank"">hump on their shoulders</a>, which consisted of this type of tissue, and served as a calorie reserve during harsh winters","fat"
5680,2009-04-24,Double Jeopardy!,"LANDS DOWN UNDER","$1200","Head south on the causeway linking Malaysia to this island nation that was once a part of it","Singapore"
5680,2009-04-24,Double Jeopardy!,"AFI'S TOP 100 MOVIE QUOTES","$1200","No. 51: ""You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?""","Dirty Harry"
5680,2009-04-24,Double Jeopardy!,"THAT'S MY KID!","$1200","1904: Alexandra Feodorovna, a royal","Czar Nicholas II"
5680,2009-04-24,Double Jeopardy!,"THE NUMBER 7","$1200","7 is the international dialing code for Kazakhstan & this big neighbor","Russia"
5680,2009-04-24,Double Jeopardy!,"8-LETTER WORDS","$1200","(<a href=""http://www.j-archive.com/media/2009-04-24_DJ_13a.jpg"" target=""_blank"">Sarah of the Clue Crew delivers the clue from the USS John C. Stennis</a>) <a href=""http://www.j-archive.com/media/2009-04-24_DJ_13b.jpg"" target=""_blank"">Carrier pilots</a> like to have this to get airborne, by increasing lift if it's 10% of takeoff air speed, it reduces takeoff distance by about 20%","a headwind"
5680,2009-04-24,Double Jeopardy!,"WAKING THE BABY MAMMOTH","$1200","(Paleontologist Dan Fisher delivers the clue) It's fortunate that Lyuba's body retained at least some of <a href=""http://www.j-archive.com/media/2009-04-24_DJ_28.jpg"" target=""_blank"">her hair</a>; recent research shows that woolly mammoth's wool can be a better source than bones for sequencing this","DNA"
5680,2009-04-24,Double Jeopardy!,"LANDS DOWN UNDER","$1600","Botswana shares the Kalahari desert with this country directly to its south","South Africa"
5680,2009-04-24,Double Jeopardy!,"AFI'S TOP 100 MOVIE QUOTES","$1600","No. 39: ""If you build it, he will come""","Field of Dreams"
5680,2009-04-24,Double Jeopardy!,"THAT'S MY KID!","$1600","1849: The former Elizabeth Barrett","Robert Browning"
5680,2009-04-24,Double Jeopardy!,"THE NUMBER 7","$1600","Stephen Covey's ""The Seven Habits of"" these ""People"" has sold more than 15 million copies since 1989","highly effective"
5680,2009-04-24,Double Jeopardy!,"8-LETTER WORDS","$2,000","A French term for the skipping of a stone on water gave us this word meaning ""Rebound"", often used of bullets","ricochet"
5680,2009-04-24,Double Jeopardy!,"WAKING THE BABY MAMMOTH","$1600","(Paleontologist Dan Fisher delivers the clue) Lyuba's well preserved body was revealed when <a href=""http://www.j-archive.com/media/2009-04-24_DJ_29.jpg"" target=""_blank"">this permanently frozen subsoll</a> melted, exposing her small form near the Yuribey River","permafrost"
5680,2009-04-24,Double Jeopardy!,"LANDS DOWN UNDER","$3,000","Mexico's southern border is with these two nations","Belize & Guatemala"
5680,2009-04-24,Double Jeopardy!,"AFI'S TOP 100 MOVIE QUOTES","$2000","No. 98: ""Nobody puts Baby in a corner""","Dirty Dancing"
5680,2009-04-24,Double Jeopardy!,"THAT'S MY KID!","$2000","1615: Pocahontas (& don't say John Smith, you'll be sad if you do)","(John) Rolfe"
5680,2009-04-24,Double Jeopardy!,"THE NUMBER 7","$2000","The 7 lucky gods of this country's folklore include Ebisu, god of fisherman, & Hotei, god of happiness","Japan"
5680,2009-04-24,Double Jeopardy!,"8-LETTER WORDS","$2000","(<a href=""http://www.j-archive.com/media/2009-04-24_DJ_15a.jpg"" target=""_blank"">Jon of the Clue Crew delivers the clue.</a>)  Mica minerals are known for their excellence in this property; see how <a href=""http://www.j-archive.com/media/2009-04-24_DJ_15b.jpg"" target=""_blank"">this one breaks cleanly along planes</a>","cleavage"
5680,2009-04-24,Double Jeopardy!,"WAKING THE BABY MAMMOTH","$2000","(Paleontologist Dan Fisher delivers the clue) When Lyuba was transported for testing, researchers were required to wear haz-mat suits as protection from viruses or pathogens from this geologic epoch, marked by a succession of ice ages","the pleistocene epoch"
5680,2009-04-24,Final Jeopardy!,"SHAKESPEARE'S TITLE CHARACTERS","None","Though he reigned for only 2 years, this king has the second-longest role in a single Shakespeare play, speaking 1,164 lines","Richard III"
5169,2007-02-15,Jeopardy!,"A LITTLE LIT","$200","In this Cervantes novel, Alonso's plans never work out as he tries to be chivalrous","Don Quixote"
